"Name","RA","DEC","MagFilter","MagBrightest","MagFaintest","QSOorigin","Method","PossibleType","CandidateStatus","Notes"
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ010855.16+502303.58","17.22982","50.38433","Gaia G","20.3","20.7",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion. No color information. Separation 1.3""."
"GRALJ013821.94+484146.78","24.59142","48.69633","Gaia G","16.4","17.4",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx). No color information. Separation 1.0""."
"GRALJ013821.94+484146.78","24.59142","48.69633","Gaia G","16.4","17.4",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx). No color information. Separation 1.0""."
"GRALJ013821.94+484146.78","24.59142","48.69633","Gaia G","16.4","17.4",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx). No color information. Separation 1.0""."
"GRALJ013821.94+484146.78","24.59142","48.69633","Gaia G","16.4","17.4",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx). No color information. Separation 1.0""."
