Name,RA,de,MagFilter,MagBrightest,MagFaintest,QSOorigin,Method,PossibleType,CandidateStatus,Notes
GRALJ170423.01+713707.57,256.095855,71.61877,Gaia G,18.9,19.2,M63+AR90,ZTFHighCorr,Double,1,Aurea around redder source. Redder source has DR2 astrometry compatible with motion but this may be due to the extended emission.
GRALJ224411.34-055049.6,341.0472872,-5.847131,Gaia G,17.8,18.2,AR90,Wavelet,Double,1,"PRIORITY. Perfect standing astrometry. Very good close-pair candidate. Separation ~1.02"""
GRALJ222905.45+182110.83,337.272705,18.353009,Gaia G,19,18.2,M63+AR90,ZTFHighCorr,Quad,1,"Quad. Candidate for an unresolved quad in crossbow configuration. 1.1"" separation"
GRALJ012255.96+783855.56,20.73316,78.64877,Gaia G,18.9,19,M63+AR90+C75,ZTFEnsemble,Double,1,"Perfectly still DR2 astrometry (plx+pm). Color difference only 0.02 mag. Separation 2.5""."
GRALJ015703.5+430305.89,29.26459,43.05164,Gaia G,19.5,20.2,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
GRALJ180918.40+310918.46,272.3267,31.15513,Gaia G,20.1,20.9,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 astrometry (plx+pm) compatible with zero within 2 sigma due to plx. No color information. Separation 0.8""."
GRALJ191157.66+330917.49,287.9902,33.15486,Gaia G,19.8,20.6,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 astrometry (plx+pm) compatible with zero within 2 sigma due to plx. No color information. Separation 1.2""."
GRALJ205620.15+101322.62,314.084,10.22295,Gaia G,19.4,20.7,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx. No proper motion. No color information. Separation 0.7""."
GRALJ000251.19+130915.99,0.713302966,13.1544411,Gaia G,19.7,21.1,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 Astrometric information is untrustworthy. Seperation is 0.7""."
GRALJ000710.01+005329.10,1.791709875,0.891417625,Gaia G,17.7,19.3,M63+AR90+C75,ZTFEnsemble,Double,1,"DR2 Astrometric information is untrustworthy. Seperation is 0.8""."
